name,city,lat,lng,unit,cadre,date,start,end,hours,rate,urgency
Agege General Hospital,"Agege, Lagos",6.6282,3.3363,Accident & Emergency,RM,2026-07-29,19:00,07:00,12,6637,normal
"Chygor-Cole Specialist Hospital, Abule-Egba","Agege, Lagos",6.6022,3.33,Labour Ward,RN,2026-07-30,08:00,16:00,8,6774,normal
Isolo Ejigbo Comprehensive Health Centre,"Agege, Lagos",6.6172,3.3212,General Medicine,RN,2026-07-31,07:00,19:00,12,6911,urgent
Ajeromi General Hospital,"Ajeromi-Ifelodun, Lagos",6.4512,3.3227,Paediatrics,RM,2026-08-01,19:00,07:00,12,7048,normal
"Trinity Specialist Hospital, Ajegunle","Ajeromi-Ifelodun, Lagos",6.4536,3.316,Theatre,RN,2026-08-02,08:00,16:00,8,7185,normal
Ajegunle Comprehensive Health Centre,"Ajeromi-Ifelodun, Lagos",6.4588,3.3217,Renal/Dialysis,RN,2026-08-03,07:00,19:00,12,7322,urgent
"Alimosho General Hospital, Igando","Alimosho, Lagos",6.5695,3.2993,Psychiatry,RM,2026-08-04,19:00,07:00,12,7459,normal
"Krown Hospital, Egbeda","Alimosho, Lagos",6.5744,3.2816,NICU,RN,2026-07-28,08:00,16:00,8,7596,normal
"Mercy Stripes Specialist Hospital, Shasha","Alimosho, Lagos",6.5807,3.275,Oncology,RN,2026-07-29,07:00,19:00,12,7733,urgent
"Amuwo-Odofin General Hospital, Festac","Amuwo-Odofin, Lagos",6.4808,3.2928,ICU,RM,2026-07-30,19:00,07:00,12,7870,normal
Trade Fair General Hospital,"Amuwo-Odofin, Lagos",6.4763,3.2979,Accident & Emergency,RN,2026-07-31,08:00,16:00,8,8007,normal
Festac Links Hospital,"Amuwo-Odofin, Lagos",6.4571,3.2709,Labour Ward,RN,2026-08-01,07:00,19:00,12,8144,urgent
Apapa General Hospital,"Apapa, Lagos",6.4581,3.351,General Medicine,RM,2026-08-02,19:00,07:00,12,8281,normal
"Lagoon Hospitals, Apapa","Apapa, Lagos",6.4527,3.3725,Paediatrics,RN,2026-08-03,08:00,16:00,8,8418,normal
"Malu Road Health Centre, Apapa","Apapa, Lagos",6.4415,3.3642,Theatre,RN,2026-08-04,07:00,19:00,12,8555,urgent
Badagry General Hospital,"Badagry, Lagos",6.4288,2.8919,Renal/Dialysis,RM,2026-07-28,19:00,07:00,12,8692,normal
"Adebayo Living Tower Hospital, Badagry","Badagry, Lagos",6.414,2.8834,Psychiatry,RN,2026-07-29,08:00,16:00,8,8829,normal
"Badagry Cottage Hospital, Topo","Badagry, Lagos",6.4203,2.8821,NICU,RN,2026-07-30,07:00,19:00,12,8966,urgent
Epe General Hospital,"Epe, Lagos",6.5779,3.9905,Oncology,RM,2026-07-31,19:00,07:00,12,9103,normal
Epe Comprehensive Health Centre,"Epe, Lagos",6.591,3.9706,ICU,RN,2026-08-01,08:00,16:00,8,9240,normal
Epe Cottage Hospital,"Epe, Lagos",6.5849,3.9777,Accident & Emergency,RN,2026-08-02,07:00,19:00,12,9377,urgent
"Reddington Hospital, Victoria Island","Eti-Osa, Lagos",6.4329,3.4274,Labour Ward,RM,2026-08-03,19:00,07:00,12,9514,normal
"Vedic Lifecare Hospital, Lekki Phase 1","Eti-Osa, Lagos",6.4257,3.4335,General Medicine,RN,2026-08-04,08:00,16:00,8,9651,normal
"Ave Maria Hospital, Lekki","Eti-Osa, Lagos",6.4172,3.4197,Paediatrics,RN,2026-07-28,07:00,19:00,12,9788,urgent
Ibeju-Lekki General Hospital,"Ibeju-Lekki, Lagos",6.4649,3.6796,Theatre,RM,2026-07-29,19:00,07:00,12,9925,normal
"Etta Atlantic Memorial Hospital, Ikate","Ibeju-Lekki, Lagos",6.4699,3.6771,Renal/Dialysis,RN,2026-07-30,08:00,16:00,8,10062,normal
Ifako-Ijaiye General Hospital,"Ifako-Ijaiye, Lagos",6.6517,3.2858,Psychiatry,RN,2026-07-31,07:00,19:00,12,10199,urgent
"Holy Trinity Hospital, Iju","Ifako-Ijaiye, Lagos",6.6566,3.3014,NICU,RM,2026-08-01,19:00,07:00,12,10336,normal
Lagos State University Teaching Hospital (LASUTH),"Ikeja, Lagos",6.5994,3.3453,Oncology,RN,2026-08-02,08:00,16:00,8,10473,normal
"Eko Hospital, Ikeja","Ikeja, Lagos",6.6164,3.359,ICU,RN,2026-08-03,07:00,19:00,12,10610,urgent
"Duchess International Hospital, Ikeja","Ikeja, Lagos",6.6085,3.361,Accident & Emergency,RM,2026-08-04,19:00,07:00,12,10747,normal
Ikorodu General Hospital,"Ikorodu, Lagos",6.613,3.5028,Labour Ward,RN,2026-07-28,08:00,16:00,8,10884,normal
